bfwa398	solution good enough given atol and rtol	solution good enough given atol and rtol	solution good enough given atol and rtol	solution good enough given atol and rtol
bfwa62	solution good enough given atol and rtol	solution good enough given atol and rtol	solution good enough given atol and rtol	solution good enough given atol and rtol
bfwa782	solution good enough given atol and rtol	solution good enough given atol and rtol	solution good enough given atol and rtol	solution good enough given atol and rtol
bwm200	solution good enough given atol and rtol	solution good enough given atol and rtol	solution good enough given atol and rtol	solution good enough given atol and rtol
bwm2000	solution good enough given atol and rtol	solution good enough given atol and rtol	maximum number of iterations exceeded	maximum number of iterations exceeded
cdde1	solution good enough given atol and rtol	solution good enough given atol and rtol	solution good enough given atol and rtol	solution good enough given atol and rtol
cdde2	solution good enough given atol and rtol	solution good enough given atol and rtol	solution good enough given atol and rtol	breakdown αₖ == 0
cdde3	solution good enough given atol and rtol	solution good enough given atol and rtol	solution good enough given atol and rtol	solution good enough given atol and rtol
cdde4	solution good enough given atol and rtol	solution good enough given atol and rtol	solution good enough given atol and rtol	breakdown αₖ == 0
cdde5	solution good enough given atol and rtol	solution good enough given atol and rtol	solution good enough given atol and rtol	solution good enough given atol and rtol
cdde6	solution good enough given atol and rtol	solution good enough given atol and rtol	solution good enough given atol and rtol	breakdown αₖ == 0
ck104	solution good enough given atol and rtol	solution good enough given atol and rtol	solution good enough given atol and rtol	breakdown αₖ == 0
ck400	solution good enough given atol and rtol	solution good enough given atol and rtol	solution good enough given atol and rtol	breakdown αₖ == 0
ck656	solution good enough given atol and rtol	solution good enough given atol and rtol	solution good enough given atol and rtol	breakdown αₖ == 0
dw1024	solution good enough given atol and rtol	solution good enough given atol and rtol	solution good enough given atol and rtol	solution good enough given atol and rtol
dw256A	solution good enough given atol and rtol	solution good enough given atol and rtol	solution good enough given atol and rtol	solution good enough given atol and rtol
dw256B	solution good enough given atol and rtol	solution good enough given atol and rtol	solution good enough given atol and rtol	solution good enough given atol and rtol
dw4096	breakdown αₖ == 0	maximum number of iterations exceeded	solution good enough given atol and rtol	solution good enough given atol and rtol
lop163	solution good enough given atol and rtol	maximum number of iterations exceeded	solution good enough given atol and rtol	maximum number of iterations exceeded
mhda416	maximum number of iterations exceeded	maximum number of iterations exceeded	breakdown αₖ == 0	breakdown αₖ == 0
odepa400	solution good enough given atol and rtol	solution good enough given atol and rtol	solution good enough given atol and rtol	solution good enough given atol and rtol
olm100	maximum number of iterations exceeded	maximum number of iterations exceeded	solution good enough given atol and rtol	maximum number of iterations exceeded
olm1000	maximum number of iterations exceeded	breakdown αₖ == 0	solution good enough given atol and rtol	maximum number of iterations exceeded
olm2000	maximum number of iterations exceeded	breakdown αₖ == 0	solution good enough given atol and rtol	maximum number of iterations exceeded
olm500	maximum number of iterations exceeded	maximum number of iterations exceeded	solution good enough given atol and rtol	maximum number of iterations exceeded
olm5000	maximum number of iterations exceeded	breakdown αₖ == 0	solution good enough given atol and rtol	breakdown αₖ == 0
pde225	solution good enough given atol and rtol	solution good enough given atol and rtol	solution good enough given atol and rtol	breakdown αₖ == 0
pde2961	solution good enough given atol and rtol	solution good enough given atol and rtol	solution good enough given atol and rtol	breakdown αₖ == 0
pde900	solution good enough given atol and rtol	solution good enough given atol and rtol	solution good enough given atol and rtol	breakdown αₖ == 0
qh882	breakdown αₖ == 0	breakdown αₖ == 0	breakdown αₖ == 0	breakdown αₖ == 0
rbsa480	breakdown αₖ == 0	breakdown αₖ == 0	solution good enough given atol and rtol	maximum number of iterations exceeded
rbsb480	breakdown αₖ == 0	breakdown αₖ == 0	maximum number of iterations exceeded	maximum number of iterations exceeded
rdb2048	breakdown αₖ == 0	solution good enough given atol and rtol	solution good enough given atol and rtol	breakdown αₖ == 0
rdb5000	solution good enough given atol and rtol	solution good enough given atol and rtol	solution good enough given atol and rtol	breakdown αₖ == 0
rdb968	breakdown αₖ == 0	breakdown αₖ == 0	solution good enough given atol and rtol	breakdown αₖ == 0
